연도,계약명,수행용역
2003,수원 팔달구 매탄동,"일조, 조망"
2003,상업용건축물의,연구용역
2004,홍제3동 대망,"일조, 조망"
2004,창원 컨벤션,연구용역
2004,화곡동 한화,"일조, 조망"
2004,강남 삼성동 영동차관,"일조, 조망"
2004,해청아파트 재건축이,"일조, 조망"
2004,친환경 주거단지,연구용역
2004,유치 이양,기술제안
2004,도암-유치간 지방도 확포장,기술제안
2005,유치-이양간 지방도4차 로 확포장,기술제안
2005,정관지방산업,기술제안
2005,용인 성 3,"일조, 조망"
2005,방배동 915번지 대성,"일조, 조망"
2005,인천 제2연육교 연결도로,기술제안
2005,양재 하이브랜드의 풍환경,CFD
2005,개포동 금호,"일조, 조망"
2005,설계를,기술제안
2005,서울 성수동 2가 333-1 333-63...,"일조, 조망"
2005,iaan 강릉타운,"일조, 조망"
2005,고양 일산동 일산휴먼빌 2,"일조, 조망"
2005,제4지방산업,기술제안
2005,분당 정장동 금융결제원 분당센타,"일조, 조망"
2005,군장국가산단(장항지 ) 호안도로 축조,기술제안
2005,의곡교차로 부산과학산업,기술제안
2005,문래동 홈,결로
2005,개포동 655-4번지 메디 스 빌딩 신축...,"일조, 조망"
2005,개포동 655-4번지 메디 스 빌딩 신축...,소음실측
2005,부항다목적댐,기술제안
2005,명지 롯데,연구용역
2005,중 쌍림동 146-23번지 도시환경정비,연구용역
2006,판교 A2-2,친환경건축물 인증
2006,진달래3차 재건축 종전/종후,"일조, 조망"
2006,성수동 000-00번지 상업,"일조, 조망"
2006,첨단산단(2단계)진입도로 개설,기술제안
2006,화성택지개발지 2블록,친환경건축물 인증
2006,판교지 생활쓰레기 공기수집시스템,기술제안
2006,전주 관내 (용정-용진),기술제안
2006,인주지방산업,기술제안
2006,하남 풍산,친환경건축물 인증
2006,웅동~장유 국도확장,기술제안
2006,청담동,"일조, 조망"
2006,김해 율하지,친환경건축물 인증
2006,경기도 가평 경춘선 복선전철 제 5,"일조, 조망"
2006,청주 강서1지,친환경건축물 인증
2006,광양 관내 국도대체우회도로(세풍-중군),기술제안
2006,도곡주공2,"일조, 조망"
2006,부산 정관지 효성,친환경건축물 인증
2006,하남풍산 B-5,친환경건축물 인증
2006,하남풍산 C-1,친환경건축물 인증
2006,도촌지 공단도로,기술제안
