연도,계약명,발주처,수행용역
2003,수원시 팔달구 매탄동 주공1차 아파트 재건축으로 인한 북측 인접주거의 일조환경 영향평가 연구,㈜무영종합건축사사무소,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2003,상업용건축물의 친환경설계 지침개발 및 기술컨설팅,㈜희림종합건축사사무소,연구용역
2004,홍제3동 대망아파트 신축으로 인한 문화촌 현대아파트 104동의 일조/조망/프라이버시 환경영향 평가,서울시 서대문구 홍제3동 문화촌현대아파트 104동 수호주민회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2004,창원 컨벤션센터 연계시설 신축공사와 관련한 친환경건축 컨설팅,㈜도시와사람,연구용역
2004,화곡동 한화 꿈에그린 아파트 신축으로 인한 우장산 롯데 낙천대아파트의 일조/조망/프라이버시 환경영향 평가,서울시 강서구 화곡동 1093번지 우장산 롯데 낙천대 아파트,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2004,"강남구 삼성동 영동차관아파트 재건축에 의한 상아아파트 7동의 일조권, 조망권, 프라이버시 환경영향평가, 광열비증가분산정 및 법원심리 등 소송기간 중 법원에서 요구하는 기술검증 및 기술지원 업무일체",서울시 강남구 삼성동 상아아파트 7동 일조소송대책주민회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2004,해청아파트 재건축이 같은 동 서광아파트에 영향을 끼친 사항 감정,삼성동 서광아파트 주민대책위원회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2004,친환경 주거단지 디자인 매뉴얼 연구용역,에스에이치공사,연구용역
2004,유치-이양간 지방도 4차로 확포장공사 기본설계·시공일괄입찰(T/K-1)용역 (도로환경영향평가),㈜대정컨설턴트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2004,도암-유치간 지방도 확포장공사 대안설계용역(직광 및 일영분석),㈜만영엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2004,도암-유치간 지방도 확포장공사 대안설계용역(추가부문/직광 및 일영분석) ,㈜만영엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,유치-이양간 지방도 4차로 확포장공사 T/K 기후영향분석,㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,정관지방산업단지 진입도로 건설공사(1공구) 대안설계 조명 시뮬레이션 용역,대림산업㈜,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,용인구성3차 쌍용아파트 신축으로 인한 상하초등학교의 일조환경 영향평가,가람감정평가법인㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,"방배동 915번지 대성재건축아파트 신축으로 인한 914, 916번지 주택의 일조, 조망, 프라이버시 환경 영향평가","방배동 914번지, 916번지 피해대책위원회","일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,인천 제2연육교 연결도로 건설공사(제1공구) 결빙 및 직광/안개/풍압분석 설계용역,㈜바우컨설탄트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,양재 하이브랜드의 풍환경 평가 및 개선방안에 대한 연구,㈜인평,"기류, 바람길, 열환경 시뮬레이션 (CFD)"
2005,"개포동 금호빌라재건축 아파트 신축으로 인한 인접 럭키아파트의 일조,조망,프라이버시 환경영향평가",개포럭키아파트 비상대책위원회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,풍로 설계를 위한 연구 결과 인증,연세대학교 산학협력단,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,"서울시 성수동 2가 333-1, 333-63번지 공동주택건립에 의한 인접 주택의 일조, 조망 및 프라이버시 환경영향 평가",현대건설㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,iaan 강릉타운 아파트 신축으로 인한 인접 주택의 일조/조망환경영향평가,㈜글로리아빌더,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,"고양시 일산동 일산휴먼빌2차아파트 신축으로 인한 일신삼익아파트이 일조, 조망, 프라이버시 환경영향 평가 연구",일신건영㈜,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,"제4지방산업단지 진입도로 확장(북부대로 개설공사) 일영, 음영 및 직광 설계용역",㈜바우컨설탄트,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,분당 정장동 금융결제원 분당센타 신축으로 인한 성원 상떼뷰의 일조 및 조망환경영향 평가,분당 정자동 12-3 상떼뷰리젠시 입주자 대표회,"일조, 조망, 프라이버시 시뮬레이션 (종합환경분석)"
2005,군장국가산단(장항지구) 호안도로 축조공사 대안설계용역 (안개위험도 및 풍속분석),㈜한국종합엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,"의곡교차로 - 부산과학산업단지간 T/K 도로의 직광, 안개위험도 및 풍속분석용역",㈜용마엔지니어링,"기술제안 (TK, 현상설계, BTL, VE/LCC 등)"
2005,문래동 홈시티 세대외부창 단면디테일 열성능 시뮬레이션,㈜경풍금속,결로
